p_s,_step,bias,lda_reliance,_runtime,_timestamp,a_s,seed,resnet_reliance
0.6,0,0.9029832281544805,-0.5,11.2109055519104,1715136253.7521076,1,1,0.40298322815448046
0.6,1,0.9652680581808091,-0.5,13.019894361495972,1715136255.5610964,1,42,0.465268058180809
0.6,2,1.08421501191126,-0.5,14.78717589378357,1715136257.328378,1,89,0.5842150119112598
0.6,3,0.939179028649297,-0.5,16.555345058441162,1715136259.0965471,1,23,0.43917902864929703
0.6,4,0.8406043395068911,-0.5,18.334285736083984,1715136260.8754878,1,113,0.34060433950689106
0.6,5,0.8938112212841709,-0.5,21.704962253570557,1715136264.2461643,2,1,0.39381122128417095
0.6,6,0.8906211948560343,-0.5,23.445427656173706,1715136265.9866297,2,42,0.39062119485603436
0.6,7,0.9254282678994867,-0.5,25.19409990310669,1715136267.735302,2,89,0.42542826789948673
0.6,8,0.8740327692321606,-0.5,26.928101062774658,1715136269.4693031,2,23,0.3740327692321605
0.6,9,0.9551593943054064,-0.5,28.69623327255249,1715136271.2374353,2,113,0.45515939430540636
0.6,10,0.9281864745676931,-0.5,32.11337661743164,1715136274.6545787,3,1,0.42818647456769315
0.6,11,0.951758354736699,-0.5,33.868338108062744,1715136276.4095402,3,42,0.451758354736699
0.6,12,0.9232051735122999,-0.5,35.63477396965027,1715136278.175976,3,89,0.42320517351229986
0.6,13,0.8997666748488943,-0.5,37.35452365875244,1715136279.8957257,3,23,0.3997666748488943
0.6,14,0.7860298441516029,-0.5,39.10143709182739,1715136281.6426392,3,113,0.2860298441516029
0.6,15,0.9052889358335071,-0.5,42.334089040756226,1715136284.875291,4,1,0.4052889358335071
0.6,16,1.3634976109448407,-0.5,44.0791552066803,1715136286.6203573,4,42,0.8634976109448407
0.6,17,1.081827886187368,-0.5,45.85687518119812,1715136288.3980772,4,89,0.5818278861873679
0.6,18,1.3526286498498585,-0.5,47.61441254615784,1715136290.1556146,4,23,0.8526286498498585
0.6,19,0.8962398093442122,-0.5,49.39457392692566,1715136291.935776,4,113,0.3962398093442122
0.6,20,0.8982437877439791,-0.5,52.8026978969574,1715136295.3439,5,1,0.398243787743979
0.6,21,1.0677128119601145,-0.5,54.486157178878784,1715136297.0273592,5,42,0.5677128119601144
0.6,22,0.9384830367234018,-0.5,56.29811954498291,1715136298.8393216,5,89,0.43848303672340183
0.6,23,1.8772276588291343,-0.5,58.06361651420593,1715136300.6048186,5,23,1.3772276588291343
0.6,24,1.0137230318288009,-0.5,59.79983448982239,1715136302.3410366,5,113,0.5137230318288009
0.7,25,0.8421755954457655,-0.45111111111111113,63.106443643569946,1715136305.6476457,1,1,0.3910644843346543
0.7,26,0.8611536426987085,-0.4488888888888889,64.85029482841492,1715136307.391497,1,42,0.41226475380981964
0.7,27,0.8674675828052891,-0.4488888888888889,66.61655688285828,1715136309.157759,1,89,0.4185786939164003
0.7,28,0.8136423069611192,-0.4488888888888889,68.36738801002502,1715136310.90859,1,23,0.3647534180722303
0.7,29,0.8566291590531667,-0.4488888888888889,70.06706428527832,1715136312.6082664,1,113,0.40774027016427783
0.7,30,0.8335671908987894,-0.45111111111111113,73.43729948997498,1715136315.9785016,2,1,0.3824560797876782
0.7,31,0.8435900140057008,-0.4488888888888889,75.13366460800171,1715136317.6748667,2,42,0.3947011251168119
0.7,32,0.8416131039294932,-0.4488888888888889,76.93468880653381,1715136319.4758909,2,89,0.3927242150406043
0.7,33,0.8436717193366753,-0.4488888888888889,78.62387585639954,1715136321.165078,2,23,0.3947828304477864
0.7,34,0.8535147192411953,-0.4488888888888889,80.3568172454834,1715136322.8980193,2,113,0.40462583035230637
0.7,35,0.8850814167273348,-0.45111111111111113,83.6888256072998,1715136326.2300277,3,1,0.43397030561622363
0.7,36,0.8097408130847745,-0.4488888888888889,85.39337396621704,1715136327.934576,3,42,0.36085192419588563
0.7,37,1.0232920234484806,-0.4488888888888889,87.18455529212952,1715136329.7257574,3,89,0.5744031345595916
0.7,38,1.3567826939295304,-0.4488888888888889,88.8793113231659,1715136331.4205134,3,23,0.9078938050406415
0.7,39,0.8140007075005107,-0.4488888888888889,90.63031458854675,1715136333.1715167,3,113,0.36511181861162184
0.7,40,0.8862549902203803,-0.45111111111111113,93.86316657066345,1715136336.4043686,4,1,0.4351438791092692
0.7,41,0.9038408491346571,-0.4488888888888889,95.64280200004578,1715136338.184004,4,42,0.4549519602457682
0.7,42,1.1490958041904702,-0.4488888888888889,97.37141060829163,1715136339.9126127,4,89,0.7002069153015812
0.7,43,0.9432264757052892,-0.4488888888888889,99.08413362503052,1715136341.6253357,4,23,0.4943375868164003
0.7,44,0.868958431813452,-0.4488888888888889,100.8693675994873,1715136343.4105697,4,113,0.4200695429245631
0.7,45,0.8607567863249117,-0.45111111111111113,104.07769274711609,1715136346.6188948,5,1,0.4096456752138005
0.7,46,0.8584951160103083,-0.4488888888888889,105.8146653175354,1715136348.3558674,5,42,0.40960622712141936
0.7,47,0.801712411335773,-0.4488888888888889,107.57139492034912,1715136350.112597,5,89,0.35282352244688403
0.7,48,1.1427598741402227,-0.4488888888888889,109.2475471496582,1715136351.7887492,5,23,0.693870985251334
0.7,49,0.8793530910379357,-0.4488888888888889,110.98962783813477,1715136353.53083,5,113,0.4304642021490468
0.8,50,0.8000688881302873,-0.4022222222222222,114.21432542800903,1715136356.7555275,1,1,0.3978466659080651
0.8,51,0.7685940623904268,-0.4,116.00423192977905,1715136358.545434,1,42,0.3685940623904268
0.8,52,0.8102017981352078,-0.4,117.78810715675354,1715136360.3293092,1,89,0.41020179813520774
0.8,53,0.8704108583016528,-0.4,119.53065228462219,1715136362.0718544,1,23,0.4704108583016528
0.8,54,0.8083922598345412,-0.4,121.32594561576843,1715136363.8671477,1,113,0.4083922598345412
0.8,55,0.8298559848219156,-0.4022222222222222,124.52674651145935,1715136367.0679486,2,1,0.4276337625996934
0.8,56,0.7786494589348634,-0.4,126.28273057937622,1715136368.8239326,2,42,0.3786494589348634
0.8,57,0.991822398280104,-0.4,128.05589771270752,1715136370.5970998,2,89,0.591822398280104
0.8,58,0.8183451158139441,-0.4,129.7850034236908,1715136372.3262055,2,23,0.41834511581394407
0.8,59,0.923555655926466,-0.4,131.524272441864,1715136374.0654745,2,113,0.523555655926466
0.8,60,0.8645781898291575,-0.4022222222222222,134.87849402427673,1715136377.419696,3,1,0.46235596760693526
0.8,61,1.078401877325442,-0.4,136.59797549247742,1715136379.1391776,3,42,0.6784018773254421
0.8,62,0.8025053513546785,-0.4,138.3271734714508,1715136380.8683755,3,89,0.40250535135467846
0.8,63,0.7948937388592296,-0.4,140.11634516716003,1715136382.6575472,3,23,0.3948937388592296
0.8,64,0.7324750768476063,-0.4,141.8591504096985,1715136384.4003525,3,113,0.33247507684760624
0.8,65,0.8360933230734533,-0.4022222222222222,145.27855014801025,1715136387.8197522,4,1,0.43387110085123115
0.8,66,1.0087713470806678,-0.4,146.96874284744263,1715136389.509945,4,42,0.6087713470806678
0.8,67,0.8191203856964906,-0.4,148.70751476287842,1715136391.2487168,4,89,0.4191203856964906
0.8,68,1.0389822006639506,-0.4,150.46201610565186,1715136393.0032182,4,23,0.6389822006639507
0.8,69,0.8373170610517264,-0.4,152.25600719451904,1715136394.7972093,4,113,0.43731706105172635
0.8,70,0.8502610667753551,-0.4022222222222222,155.5634195804596,1715136398.1046216,5,1,0.44803884455313286
0.8,71,0.8424937052445279,-0.4,157.2492573261261,1715136399.7904594,5,42,0.4424937052445279
0.8,72,0.9423130000879367,-0.4,159.00803899765015,1715136401.549241,5,89,0.5423130000879367
0.8,73,0.9431415889329381,-0.4,160.763197183609,1715136403.3043993,5,23,0.5431415889329381
0.8,74,0.8484639333933592,-0.4,162.5108518600464,1715136405.052054,5,113,0.44846393339335916
0.9,75,0.3578746244932215,0.05555555555555555,165.84237575531006,1715136408.3835778,1,1,0.413430180048777
0.9,76,0.3898622657524215,0.06,167.5758397579193,1715136410.1170418,1,42,0.4498622657524215
0.9,77,0.3577691015932295,0.06,169.30203294754028,1715136411.843235,1,89,0.4177691015932295
0.9,78,0.3718622516840696,0.04666666666666667,171.07821226119995,1715136413.6194143,1,23,0.4185289183507363
0.9,79,0.3742147541211711,0.06,172.75475192070007,1715136415.295954,1,113,0.4342147541211711
0.9,80,0.37478163695997657,0.05555555555555555,176.11198902130127,1715136418.653191,2,1,0.43033719251553215
0.9,81,0.24449431758787898,0.06,177.84868597984314,1715136420.389888,2,42,0.304494317587879
0.9,82,0.38529858375589054,0.06,179.61019206047058,1715136422.1513941,2,89,0.44529858375589054
0.9,83,0.41747445990641907,0.04666666666666667,181.44524884223938,1715136423.986451,2,23,0.46414112657308576
0.9,84,0.5480198120408588,0.06,183.15016150474548,1715136425.6913636,2,113,0.6080198120408588
0.9,85,0.3821088840481308,0.05555555555555555,186.464049577713,1715136429.0052516,3,1,0.43766443960368634
0.9,86,0.26954885797368155,0.06,188.17015290260315,1715136430.711355,3,42,0.32954885797368155
0.9,87,0.4431155637651682,0.06,189.89046621322632,1715136432.4316683,3,89,0.5031155637651682
0.9,88,0.40683789924614955,0.04666666666666667,191.67436742782593,1715136434.2155695,3,23,0.45350456591281624
0.9,89,0.24914633946286308,0.06,193.42592859268188,1715136435.9671307,3,113,0.3091463394628631
0.9,90,0.3577042830525897,0.05555555555555555,196.71565961837769,1715136439.2568617,4,1,0.4132598386081453
0.9,91,0.3387070868909359,0.06,198.4400656223297,1715136440.9812677,4,42,0.3987070868909359
0.9,92,0.4776815261857377,0.06,200.16856408119202,1715136442.7097661,4,89,0.5376815261857377
0.9,93,0.4205345404440433,0.04666666666666667,201.99007439613342,1715136444.5312765,4,23,0.46720120711071
0.9,94,0.3098277905707558,0.06,203.7039144039154,1715136446.2451165,4,113,0.3698277905707558
0.9,95,0.3206391465332773,0.05555555555555555,206.980327129364,1715136449.5215292,5,1,0.3761947020888329
0.9,96,0.3914887358744939,0.06,208.73895716667175,1715136451.2801592,5,42,0.4514887358744939
0.9,97,0.4360033975376023,0.06,210.4528102874756,1715136452.9940124,5,89,0.4960033975376023
0.9,98,0.4200867567894359,0.04666666666666667,212.3061981201172,1715136454.8474002,5,23,0.4667534234561026
0.9,99,0.37864952518915135,0.06,213.9924020767212,1715136456.5336041,5,113,0.43864952518915135
