lda_reliance,_step,_runtime,resnet_reliance,seeds,_timestamp,bias,a_s,p_s
-0.5,0,15.394612073898315,1.0,1,1715200092.220938,1.5,1,0.6
-0.5,1,17.034615993499756,1.0,42,1715200093.860942,1.5,1,0.6
-0.5,2,18.75501561164856,1.0,89,1715200095.5813415,1.5,1,0.6
-0.5,3,20.350149869918823,0.9733333333333334,23,1715200097.1764758,1.4733333333333334,1,0.6
-0.5,4,21.982410430908203,0.96,113,1715200098.8087363,1.46,1,0.6
-0.5,5,25.107581853866577,1.0,1,1715200101.9339077,1.5,2,0.6
-0.5,6,26.678460836410522,0.9911111111111112,42,1715200103.5047867,1.491111111111111,2,0.6
-0.5,7,28.385159254074097,0.9955555555555555,89,1715200105.2114851,1.4955555555555555,2,0.6
-0.5,8,30.015746116638184,0.9777777777777777,23,1715200106.842072,1.4777777777777779,2,0.6
-0.5,9,31.746782302856445,0.9822222222222222,113,1715200108.5731082,1.482222222222222,2,0.6
-0.5,10,34.96647644042969,1.0,1,1715200111.7928023,1.5,3,0.6
-0.5,11,36.5563542842865,0.9955555555555555,42,1715200113.3826802,1.4955555555555555,3,0.6
-0.5,12,38.170326471328735,0.9333333333333333,89,1715200114.9966524,1.4333333333333333,3,0.6
-0.5,13,39.86316633224487,0.9333333333333333,23,1715200116.6894922,1.4333333333333333,3,0.6
-0.5,14,41.488179206848145,0.9333333333333333,113,1715200118.314505,1.4333333333333333,3,0.6
-0.5,15,44.59341478347778,0.9822222222222222,1,1715200121.4197407,1.482222222222222,4,0.6
-0.5,16,46.18692421913147,0.9333333333333333,42,1715200123.01325,1.4333333333333333,4,0.6
-0.5,17,47.73702597618103,0.9377777777777778,89,1715200124.5633519,1.4377777777777778,4,0.6
-0.5,18,49.45686340332031,0.9333333333333333,23,1715200126.2831893,1.4333333333333333,4,0.6
-0.5,19,51.092495918273926,0.9244444444444444,113,1715200127.9188218,1.4244444444444444,4,0.6
-0.5,20,54.114051818847656,0.9377777777777778,1,1715200130.9403777,1.4377777777777778,5,0.6
-0.5,21,55.75723671913147,0.9288888888888889,42,1715200132.5835626,1.4288888888888889,5,0.6
-0.5,22,57.33803105354309,1.0,89,1715200134.164357,1.5,5,0.6
-0.5,23,58.92709445953369,0.9333333333333333,23,1715200135.7534204,1.4333333333333333,5,0.6
-0.5,24,60.59515619277954,0.9377777777777778,113,1715200137.421482,1.4377777777777778,5,0.6
-0.45111111111111113,25,63.65777230262756,0.9911111111111112,1,1715200140.4840982,1.4422222222222223,1,0.7
-0.4488888888888889,26,65.3868978023529,0.9866666666666667,42,1715200142.2132237,1.4355555555555557,1,0.7
-0.4488888888888889,27,67.03914642333984,0.9911111111111112,89,1715200143.8654723,1.44,1,0.7
-0.4488888888888889,28,68.60679173469543,0.9955555555555555,23,1715200145.4331176,1.4444444444444444,1,0.7
-0.4488888888888889,29,70.25853729248047,0.9733333333333334,113,1715200147.0848632,1.4222222222222223,1,0.7
-0.45111111111111113,30,73.33701753616333,0.9955555555555555,1,1715200150.1633434,1.4466666666666668,2,0.7
-0.4488888888888889,31,74.97009134292603,0.9777777777777777,42,1715200151.7964172,1.4266666666666667,2,0.7
-0.4488888888888889,32,76.69696688652039,0.9644444444444444,89,1715200153.5232928,1.4133333333333333,2,0.7
-0.4488888888888889,33,78.2656021118164,0.9288888888888889,23,1715200155.091928,1.3777777777777778,2,0.7
-0.4488888888888889,34,79.86625671386719,0.9333333333333333,113,1715200156.6925826,1.3822222222222222,2,0.7
-0.45111111111111113,35,83.05811095237732,0.9333333333333333,1,1715200159.8844368,1.3844444444444446,3,0.7
-0.4488888888888889,36,84.60156583786011,0.9333333333333333,42,1715200161.4278917,1.3822222222222222,3,0.7
-0.4488888888888889,37,86.32766532897949,0.9333333333333333,89,1715200163.1539912,1.3822222222222222,3,0.7
-0.4488888888888889,38,88.02251076698303,0.9244444444444444,23,1715200164.8488367,1.3733333333333333,3,0.7
-0.4488888888888889,39,89.61496210098267,0.9111111111111111,113,1715200166.441288,1.3599999999999999,3,0.7
-0.45111111111111113,40,93.46457695960999,0.9422222222222222,1,1715200170.2909029,1.3933333333333333,4,0.7
-0.4488888888888889,41,95.28221297264099,0.9333333333333333,42,1715200172.1085389,1.3822222222222222,4,0.7
-0.4488888888888889,42,96.99037551879883,0.9822222222222222,89,1715200173.8167014,1.431111111111111,4,0.7
-0.4488888888888889,43,98.63759970664978,1.0,23,1715200175.4639256,1.448888888888889,4,0.7
-0.4488888888888889,44,100.26971411705017,0.9911111111111112,113,1715200177.09604,1.44,4,0.7
-0.45111111111111113,45,103.63614749908447,0.9155555555555556,1,1715200180.4624734,1.3666666666666667,5,0.7
-0.4488888888888889,46,105.24918794631958,0.9333333333333333,42,1715200182.0755138,1.3822222222222222,5,0.7
-0.4488888888888889,47,106.9661123752594,0.9688888888888889,89,1715200183.7924383,1.4177777777777778,5,0.7
-0.4488888888888889,48,108.60753440856934,0.9555555555555556,23,1715200185.4338603,1.4044444444444446,5,0.7
-0.4488888888888889,49,110.18273329734802,0.9333333333333333,113,1715200187.0090592,1.3822222222222222,5,0.7
-0.4022222222222222,50,113.46768140792847,0.9911111111111112,1,1715200190.2940073,1.3933333333333333,1,0.8
-0.4,51,115.14017581939697,0.9777777777777777,42,1715200191.9665017,1.3777777777777778,1,0.8
-0.4,52,116.83955550193787,0.9911111111111112,89,1715200193.6658814,1.3911111111111112,1,0.8
-0.4,53,118.54878425598145,0.9688888888888889,23,1715200195.3751101,1.3688888888888888,1,0.8
-0.4,54,120.10139513015747,0.9866666666666667,113,1715200196.927721,1.3866666666666667,1,0.8
-0.4022222222222222,55,123.30975484848022,0.9866666666666667,1,1715200200.1360807,1.3888888888888888,2,0.8
-0.4,56,124.88857579231262,0.9777777777777777,42,1715200201.7149017,1.3777777777777778,2,0.8
-0.4,57,126.467600107193,1.0,89,1715200203.293926,1.4,2,0.8
-0.4,58,128.19039297103882,0.9822222222222222,23,1715200205.0167189,1.3822222222222222,2,0.8
-0.4,59,129.80855655670166,1.0,113,1715200206.6348825,1.4,2,0.8
-0.4022222222222222,60,132.8712055683136,0.9511111111111111,1,1715200209.6975315,1.3533333333333333,3,0.8
-0.4,61,134.616765499115,0.9333333333333333,42,1715200211.4430914,1.3333333333333335,3,0.8
-0.4,62,136.21838784217834,0.9333333333333333,89,1715200213.0447137,1.3333333333333335,3,0.8
-0.4,63,137.84401321411133,0.9955555555555555,23,1715200214.670339,1.3955555555555557,3,0.8
-0.4,64,139.5793478488922,0.9022222222222223,113,1715200216.4056737,1.3022222222222224,3,0.8
-0.4022222222222222,65,142.50858616828918,0.9333333333333333,1,1715200219.334912,1.3355555555555556,4,0.8
-0.4,66,144.22582459449768,0.9333333333333333,42,1715200221.0521505,1.3333333333333335,4,0.8
-0.4,67,145.88710570335388,0.9644444444444444,89,1715200222.7134316,1.3644444444444446,4,0.8
-0.4,68,147.4412224292755,0.9333333333333333,23,1715200224.2675483,1.3333333333333335,4,0.8
-0.4,69,149.13174438476562,0.9333333333333333,113,1715200225.9580703,1.3333333333333335,4,0.8
-0.4022222222222222,70,152.2052125930786,0.9288888888888889,1,1715200229.0315385,1.3311111111111111,5,0.8
-0.4,71,153.78525137901306,0.9911111111111112,42,1715200230.6115773,1.3911111111111112,5,0.8
-0.4,72,155.49354887008667,0.9911111111111112,89,1715200232.3198748,1.3911111111111112,5,0.8
-0.4,73,157.05084204673767,0.9066666666666666,23,1715200233.877168,1.3066666666666666,5,0.8
-0.4,74,158.59815573692322,0.9377777777777778,113,1715200235.4244816,1.3377777777777777,5,0.8
0.05555555555555555,75,161.74743270874023,0.9822222222222222,1,1715200238.5737586,0.9266666666666666,1,0.9
0.06,76,163.31660866737366,0.9511111111111111,42,1715200240.1429346,0.8911111111111112,1,0.9
0.06,77,165.05234742164612,0.9466666666666667,89,1715200241.8786733,0.8866666666666667,1,0.9
0.04666666666666667,78,166.67403602600098,0.9866666666666667,23,1715200243.500362,0.9400000000000001,1,0.9
0.06,79,168.23334622383118,0.9733333333333334,113,1715200245.059672,0.9133333333333333,1,0.9
0.05555555555555555,80,171.5055890083313,0.9688888888888889,1,1715200248.331915,0.9133333333333333,2,0.9
0.06,81,173.05573630332947,0.96,42,1715200249.8820622,0.8999999999999999,2,0.9
0.06,82,174.72769474983215,0.9333333333333333,89,1715200251.5540206,0.8733333333333333,2,0.9
0.04666666666666667,83,176.4111340045929,0.9288888888888889,23,1715200253.23746,0.8822222222222222,2,0.9
0.06,84,177.98031902313232,0.9333333333333333,113,1715200254.806645,0.8733333333333333,2,0.9
0.05555555555555555,85,181.206937789917,0.9688888888888889,1,1715200258.0332637,0.9133333333333333,3,0.9
0.06,86,183.04824471473694,0.9333333333333333,42,1715200259.8745706,0.8733333333333333,3,0.9
0.06,87,184.65165543556213,0.9466666666666667,89,1715200261.4779813,0.8866666666666667,3,0.9
0.04666666666666667,88,186.44727325439453,0.9288888888888889,23,1715200263.2735991,0.8822222222222222,3,0.9
0.06,89,188.16328120231628,0.9466666666666667,113,1715200264.989607,0.8866666666666667,3,0.9
0.05555555555555555,90,191.3690459728241,0.9955555555555555,1,1715200268.1953719,0.94,4,0.9
0.06,91,193.04999589920044,0.9333333333333333,42,1715200269.8763218,0.8733333333333333,4,0.9
0.06,92,194.65685057640076,1.0,89,1715200271.4831765,0.94,4,0.9
0.04666666666666667,93,196.39821887016296,0.9377777777777778,23,1715200273.2245448,0.8911111111111112,4,0.9
0.06,94,198.01830291748047,0.9955555555555555,113,1715200274.8446288,0.9355555555555555,4,0.9
0.05555555555555555,95,201.11439967155457,0.9333333333333333,1,1715200277.9407256,0.8777777777777778,5,0.9
0.06,96,202.8122034072876,0.9333333333333333,42,1715200279.6385293,0.8733333333333333,5,0.9
0.06,97,204.40794563293457,0.9466666666666667,89,1715200281.2342715,0.8866666666666667,5,0.9
0.04666666666666667,98,206.02734923362732,0.9333333333333333,23,1715200282.8536751,0.8866666666666667,5,0.9
0.06,99,207.6804714202881,0.9333333333333333,113,1715200284.5067973,0.8733333333333333,5,0.9
